"Mese" "In1" "Anno" "Temperatura" "In2"
"October" NA 1969 -0.61020756 0.79
"October" NA 1970 -0.6406479 -0.77
"October" NA 1971 -0.79224205 -0.82
"October" NA 1972 -0.549119 1.58
"October" NA 1973 -0.6433172 -1.45
"October" NA 1974 -0.8322687 -0.41
"October" NA 1975 -0.92811203 -1.37
"October" NA 1976 -1.0600338 0.62
"October" NA 1977 -0.71654224 0.57
"October" NA 1978 -0.6957722 -0.42
"October" NA 1979 -0.36478424 0.33
"October" NA 1980 -0.45589542 -0.07
"October" NA 1981 -0.41902733 -0.16
"October" NA 1982 -0.5201969 1.58
"October" NA 1983 -0.47554874 -0.46
"October" NA 1984 -0.5221844 -0.24
"October" NA 1985 -0.6469984 -0.4
"October" NA 1986 -0.59407234 0.71
"October" NA 1987 -0.34642506 1.65
"October" NA 1988 -0.35174274 -1.19
"October" NA 1989 -0.37505054 -0.24
"October" NA 1990 -0.15847206 0.39
"October" NA 1991 -0.34852886 0.62
"October" NA 1992 -0.6016693 -0.13
"October" NA 1993 -0.43048668 0.15
"October" NA 1994 -0.2922449 0.55
"October" NA 1995 -0.19515514 -0.81
"October" NA 1996 -0.4405651 -0.35
"October" NA 1997 -0.053113937 2.14
"October" NA 1998 -0.17791367 -1.31
"October" NA 1999 -0.30163097 -1.16
"October" NA 2000 -0.39593697 -0.55
"October" NA 2001 -0.1062994 -0.19
"October" NA 2002 -0.08117771 1.01
"October" NA 2003 0.10379219 0.26
"October" NA 2004 0.006457329 0.7
"October" NA 2005 0.17159939 -0.11
"October" NA 2006 0.13767147 0.54
"October" NA 2007 -0.014292717 -1.07
"October" NA 2008 0.036865234 -0.24
"October" NA 2009 0.07972717 0.71
"October" NA 2010 0.11609554 -1.56
"October" NA 2011 0.029310226 -0.83
"October" NA 2012 0.21889305 0.37
"October" NA 2013 0.051130295 -0.26
"October" NA 2014 0.16329479 0.23
"October" NA 2015 0.44097042 2.16
"October" NA 2016 0.34130383 -0.63
"October" NA 2017 0.35907078 -0.38
"October" NA 2018 0.3543272 0.49
"October" NA 2019 0.4528551 0.19
"October" NA 2020 0.37566376 -0.89
"October" NA 2021 0.42101574 -0.67
"October" NA 2022 0.40864563 -1.01
"October" NA 2023 0.8495197 1.56
"October" NA 2024 0.7986078 -0.21
"September" NA 1940 -0.6347742 NA
"September" NA 1941 -0.8541212 NA
"September" NA 1942 -0.7412548 NA
"September" NA 1943 -0.7097311 NA
"September" NA 1944 -0.41241074 NA
"September" NA 1945 -0.5257206 NA
"September" NA 1946 -0.65384483 NA
"September" NA 1947 -0.69172 NA
"September" NA 1948 -0.7159023 NA
"September" NA 1949 -0.6333294 NA
"September" NA 1950 -0.66482544 -0.42
"September" NA 1951 -0.49286175 0.89
"September" NA 1952 -0.6126194 0
"September" NA 1953 -0.6320429 0.73
"September" NA 1954 -0.87515736 -0.84
"September" NA 1955 -0.6834698 -0.75
"September" NA 1956 -0.92163944 -0.55
"September" NA 1957 -0.53384686 1.32
"September" NA 1958 -0.6557627 0.43
"September" NA 1959 -0.70442104 -0.28
"September" NA 1960 -0.6237612 0.24
"September" NA 1961 -0.51615715 -0.13
"September" NA 1962 -0.64635086 -0.07
"September" NA 1963 -0.4472847 1.14
"September" NA 1964 -0.89646626 -0.66
"September" NA 1965 -0.72245884 1.54
"September" NA 1966 -0.6010771 0.12
"September" NA 1967 -0.58196354 -0.16
"September" NA 1968 -0.7426176 0.53
"September" NA 1969 -0.5782232 0.51
"September" NA 1970 -0.6132612 -0.76
"September" NA 1971 -0.6799574 -0.77
"September" NA 1972 -0.5491123 1.37
"September" NA 1973 -0.5928221 -1.28
"September" NA 1974 -0.7940941 -0.37
"September" NA 1975 -0.8397846 -1.2
"September" NA 1976 -0.6972208 0.35
"September" NA 1977 -0.6454325 0.42
"September" NA 1978 -0.6847372 -0.42
"September" NA 1979 -0.376359 0.17
"September" NA 1980 -0.36777592 0.03
"September" NA 1981 -0.33603668 -0.25
"September" NA 1982 -0.46557617 1.07
"September" NA 1983 -0.19696712 -0.08
"September" NA 1984 -0.48609352 -0.16
"September" NA 1985 -0.5208702 -0.46
"September" NA 1986 -0.52695084 0.44
"September" NA 1987 -0.22409725 1.7
"September" NA 1988 -0.1873064 -1.11
"September" NA 1989 -0.28293705 -0.27
"September" NA 1990 -0.23057461 0.38
"September" NA 1991 -0.20186901 0.64
"September" NA 1992 -0.6091318 0.09
"September" NA 1993 -0.51664925 0.25
"September" NA 1994 -0.23872185 0.43
"September" NA 1995 -0.20063305 -0.54
"September" NA 1996 -0.32755566 -0.32
"September" NA 1997 -0.06467819 1.9
"September" NA 1998 -0.05279255 -1.12
"September" NA 1999 -0.20069408 -1.11
"September" NA 2000 -0.23873329 -0.51
"September" NA 2001 -0.07816315 -0.13
"September" NA 2002 0.005221367 0.86
"September" NA 2003 0.07381439 0.21
"September" NA 2004 -0.040070534 0.64
"September" NA 2005 0.12966347 -0.14
"September" NA 2006 0.04808998 0.3
"September" NA 2007 -0.089821815 -0.81
"September" NA 2008 -0.030119896 -0.23
"September" NA 2009 0.103710175 0.58
"September" NA 2010 0.099030495 -1.35
"September" NA 2011 0.047351837 -0.62
"September" NA 2012 0.11289787 0.37
"September" NA 2013 0.16967964 -0.32
"September" NA 2014 0.18443108 0.07
"September" NA 2015 0.26686192 1.86
"September" NA 2016 0.35773182 -0.54
"September" NA 2017 0.2795391 -0.11
"September" NA 2018 0.1994009 0.23
"September" NA 2019 0.3787241 0.14
"September" NA 2020 0.4334898 -0.57
"September" NA 2021 0.40136528 -0.49
"September" NA 2022 0.3493948 -0.91
"September" NA 2023 0.9306059 1.32
"September" NA 2024 0.7279062 -0.11
